数据集,填补模型,下游模型,掩码率,直接预测,0填充,均值,最近邻,线性,单独,lambda=0,lambda=0.5,lambda=1,lambda可学习,学习到的lambda,随机种子
ETTm1,TimesNet,TimesNet,12.5%,0.3395,0.346,0.3379368484020233,0.3389,0.3392,0.3404,0.3703,0.3457,0.3442,0.3395,0.6872,2021
ETTm1,TimesNet,TimesNet,25.0%,0.3395,0.3741,0.3403498828411102,0.3382,0.3388,0.3413,0.3754,0.3452,0.3451,0.3434,0.6874,2021
ETTm1,TimesNet,TimesNet,37.5%,0.3395,0.4746,0.3446190357208252,0.3403,0.3403,0.3415,0.3895,0.3433,0.3439,0.3422,0.6872,2021
ETTm1,TimesNet,TimesNet,50.0%,0.3395,0.531,0.3518023192882538,0.3412,0.3429,0.341,0.3877,0.3503,0.3492,0.3456,0.6876,2021
ETTm1,TimesNet,TimesNet,62.5%,0.3395,0.6856,0.3572606444358825,0.3427,0.3444,0.344,0.4049,0.3581,0.3566,0.348,0.6875,2021
ETTm1,TimesNet,TimesNet,75.0%,0.3395,0.7415,0.3730940520763397,0.3456,0.3598,0.3509,0.3781,0.374,0.3599,0.3556,0.6883,2021
ETTm1,MICN,MICN,12.5%,0.3336,0.3228,0.3372577726840973,0.334,0.3376,0.3304,0.3301,0.3271,0.3277,0.3278,0.6879,2021
ETTm1,MICN,MICN,25.0%,0.3336,0.3466,0.3239736258983612,0.3339,0.3352,0.3286,0.3365,0.3253,0.3256,0.3238,0.6879,2021
ETTm1,MICN,MICN,37.5%,0.3336,0.3778,0.3276667296886444,0.335,0.3327,0.3263,0.4189,0.3346,0.3211,0.3251,0.8796,2021
ETTm1,MICN,MICN,50.0%,0.3336,0.4734,0.334201842546463,0.3254,0.3269,0.3287,0.4808,0.3556,0.3332,0.3251,0.8776,2021
ETTm1,MICN,MICN,62.5%,0.3336,0.4219,0.3358749449253082,0.3202,0.3285,0.3395,0.5016,0.4305,0.3802,0.3439,0.881,2021
ETTm1,MICN,MICN,75.0%,0.3336,0.4922,0.3375149071216583,0.3289,0.339,0.3517,0.5272,0.4567,0.4065,0.3776,0.8889,2021
ETTm1,Transformer,TimesNet,12.5%,0.3395,0.346,0.3377,0.3389,0.3392,0.3563,0.3963,0.4108,0.3556,0.3961,0.8806,2021
ETTm1,Transformer,TimesNet,25.0%,0.3395,0.3741,0.3391,0.3382,0.3388,0.4094,0.4144,0.4015,0.4064,0.3923,0.8817,2021
ETTm1,Transformer,TimesNet,37.5%,0.3395,0.4746,0.3401,0.3403,0.3403,0.407,0.3917,0.3956,0.4016,0.3891,0.8825,2021
ETTm1,Transformer,TimesNet,50.0%,0.3395,0.531,0.346,0.3412,0.3429,0.4037,0.3879,0.3834,0.3895,0.386,0.8843,2021
ETTm1,Transformer,TimesNet,62.5%,0.3395,0.6856,0.3473,0.3427,0.3444,0.3942,0.4058,0.3952,0.3754,0.3702,0.886,2021
ETTm1,Transformer,TimesNet,75.0%,0.3395,0.7415,0.3532,0.3456,0.3598,0.3857,0.749,0.4345,0.3806,0.3633,0.8907,2021
ETTh1,TimesNet,TimesNet,12.5%,0.402,0.414,0.4113209247589111,0.4138,0.4138,0.4146,0.4228,0.4173,0.42,0.418,0.5928,2021
ETTh1,TimesNet,TimesNet,25.0%,0.402,0.4332,0.4336483776569366,0.4171,0.4166,0.4117,0.4293,0.4127,0.4166,0.4156,0.592,2021
ETTh1,TimesNet,TimesNet,37.5%,0.402,0.4531,0.4149898886680603,0.4204,0.421,0.415,0.4443,0.413,0.4199,0.4192,0.5463,2021
ETTh1,TimesNet,TimesNet,50.0%,0.402,0.5419,0.416424036026001,0.428,0.4219,0.4147,0.472,0.4237,0.4308,0.429,0.5908,2021
ETTh1,TimesNet,TimesNet,62.5%,0.402,0.6432,0.4214319884777069,0.4277,0.4524,0.4237,0.4527,0.4301,0.4182,0.4189,0.5912,2021
ETTh1,TimesNet,TimesNet,75.0%,0.402,0.8988,0.4359050691127777,0.4556,0.4743,0.4342,0.4582,0.4546,0.441,0.4338,0.5938,2021
ETTh1,Transformer,TimesNet,12.5%,0.402,0.414,0.4112,0.4138,0.4138,0.4169,0.4465,0.4167,0.4159,0.4147,0.5916,2021
ETTh1,Transformer,TimesNet,25.0%,0.402,0.4332,0.4354,0.4171,0.4166,0.4161,0.4592,0.4184,0.4168,0.4144,0.5914,2021
ETTh1,Transformer,TimesNet,37.5%,0.402,0.4531,0.4119,0.4204,0.421,0.4153,0.4105,0.4183,0.4236,0.4203,0.5913,2021
ETTh1,Transformer,TimesNet,50.0%,0.402,0.5419,0.4128,0.428,0.4219,0.4224,0.4394,0.4289,0.4177,0.4151,0.5913,2021
